source,target,relationship,evidence,article_title
Tesla,EV,supplies,"Report shows progress towards even cleaner EV supply chains, Tesla leads.","Report shows progress towards even cleaner EV supply chains, Tesla leads - Electrek"
LG,US,supplies,"US reveals Tesla battery deal with LG, lifting veil on supply chain.","US reveals Tesla battery deal with LG, lifting veil on supply chain - digitimes"
Tesla,EV,supplies,"Forget about X, AI and robots—Tesla is quietly building a complete EV battery supply chain.","Forget about X, AI and robots—Tesla is quietly building a complete EV battery supply chain - Charged EVs"
US,China,supplies,Tesla requires US supply chains to strip out China-made components – report.,Tesla requires US supply chains to strip out China-made components – report - Just Auto
Tesla,China,supplies,"Tesla says it values China suppliers, does not exclude any by origin.","Tesla says it values China suppliers, does not exclude any by origin - Reuters"
China,US,supplies,"Tesla requires suppliers to avoid China-made parts for US cars, WSJ reports.","Tesla requires suppliers to avoid China-made parts for US cars, WSJ reports - Reuters"
DHL Supply Chain,California,supplies,DHL Supply Chain integrates Tesla Semi into California fleet.,DHL Supply Chain integrates Tesla Semi into California fleet - electrive.com
China,US,supplies,Tesla pushing suppliers to cut all China-made parts for US cars.,Tesla pushing suppliers to cut all China-made parts for US cars - Electrek
Tesla,US,supplies,Tesla's robotics ambitions rest on the knife-edge of US-China trade relations due to its supply chain — the majority of critical materials and suppliers are located in China.,Tesla's robotics ambitions rest on the knife-edge of US-China trade relations due to its supply chain — the majority of critical materials and suppliers are located in China - Tom's Hardware
Tesla,GM,supplies,Tesla and GM try and shake off Chinese parts from supply chain - ArenaEV.,Tesla and GM try and shake off Chinese parts from supply chain - ArenaEV - ArenaEV
BYD,Keep Pace,supplies,Tesla Struggles to Keep Pace with BYD in Europe Supply Chain Brain,Tesla Struggles to Keep Pace with BYD in Europe - Supply Chain Brain
Costco,Paramount,supplies,"How Tesla, Costco and Paramount are Shifting Supply Chains.","How Tesla, Costco and Paramount are Shifting Supply Chains - Supply Chain Digital Magazine"
EV,BYD,manufactures_in,Tesla loses global EV manufacturing lead to BYD.,Tesla loses global EV manufacturing lead to BYD - Manufacturing Today
EV,BYD Manufacturing,manufactures_in,Tesla loses global EV manufacturing lead to BYD Manufacturing Today,Tesla loses global EV manufacturing lead to BYD - Manufacturing Today
Explores Indian Semiconductor Suppliers,Global Supply Chain Assembly,supplies,Tesla Explores Indian Semiconductor Suppliers to Strengthen Global Supply Chain Assembly Magazine,Tesla Explores Indian Semiconductor Suppliers to Strengthen Global Supply Chain - Assembly Magazine
China,US,supplies,Tesla moves to eliminate China-sourced components in US vehicles.,Tesla moves to eliminate China-sourced components in US vehicles - Interesting Engineering
Tesla,Ford,supplies,"Ford, Mercedes, Tesla, Volvo, and Volkswagen have the most sustainable supply chains for electric vehicles.","Ford, Mercedes, Tesla, Volvo, and Volkswagen have the most sustainable supply chains for electric vehicles - firstonline.info"
Tesla,US,manufactures_in,Tesla is quietly trying to build US cars with zero China-made parts.,Tesla is quietly trying to build US cars with zero China-made parts - TechSpot
US,China,manufactures_in,Tesla is quietly trying to build US cars with zero China-made parts TechSpot,Tesla is quietly trying to build US cars with zero China-made parts - TechSpot
Sustainable Logistics,California DC,logistics_support,DHL Chooses Tesla Semi for Sustainable Logistics in California DC Velocity,Ready for a Greener Future? DHL Chooses Tesla Semi for Sustainable Logistics in California - DC Velocity
Tesla,Samsung,materials_dependency,Research Insights: Win-win alliance between Tesla and Samsung strengthens chip and foundry ambitions.,Research Insights: Win-win alliance between Tesla and Samsung strengthens chip and foundry ambitions - digitimes
GM,China,supplies,"Tesla, GM’s efforts to decouple from China test Korea’s supply chain readiness.","Tesla, GM’s efforts to decouple from China test Korea’s supply chain readiness - Korea JoongAng Daily"
Panasonic,US,manufactures_in,Tesla reportedly pushes Panasonic to speed up US battery production.,Tesla reportedly pushes Panasonic to speed up US battery production - Teslarati
Tesla,China,supplies,"Suppliers’ country of origin doesn’t constitute exclusion criterion, Tesla exec says, after report of firm excluding China-made components.","Suppliers’ country of origin doesn’t constitute exclusion criterion, Tesla exec says, after report of firm excluding China-made components - Global Times"
Tesla,EV,mentioned_with,"Report shows progress towards even cleaner EV supply chains, Tesla leads - Electrek","Report shows progress towards even cleaner EV supply chains, Tesla leads - Electrek"
