title,link,published,source,summary
Tesla Just Snubbed TSMC — Musk Is Quietly Building A Sovereign Chip Chain - Yahoo Finance,https://news.google.com/rss/articles/CBMingFBVV95cUxNVFR0VU5kUUNqWjNFY0RTeUdQZkxEN09zb1NzRE5LeGtYTVo3WU91bmdQS3YweFZRWWE5YUtjanluUE8yQzBURXBUUDg2akVOcTluZzZzWG54eXRuNjNNNi02Y1FPbTNHM2IwcW9tUGdudWpqWHJtTmJqdDJiOV90ODVmbnZ4S1dTZDVfRjVBVk9qOGY4YnJlQW9zOF83Zw?oc=5,2026-03-20,Yahoo Finance,Tesla Just Snubbed TSMC — Musk Is Quietly Building A Sovereign Chip Chain Yahoo Finance
"Report shows progress towards even cleaner EV supply chains, Tesla leads - Electrek",https://news.google.com/rss/articles/CBMipgFBVV95cUxPV1kzbENTczRraDVXVjdHSEE2dTljUl9uS2k1UkZBNjRUdFpYZUtTbDVGVkNvY0d4cXVnRFJHMUZNam9rMkRYaFNlcm9jdThoZU5YdU5PMTkyTlo2VUdUcFIxV19OZ3JEUW1qc2RPNk80MXpBTXFxRE00SnhXTWdkT1dZa2FxcHlTdU1JU3F3YlZjcng5V0tRTlhYOVBQMTlGT2R5QWtR?oc=5,2026-03-03,Electrek,"Report shows progress towards even cleaner EV supply chains, Tesla leads Electrek"
"US reveals Tesla battery deal with LG, lifting veil on supply chain - digitimes",https://news.google.com/rss/articles/CBMimAFBVV95cUxNc1piTDJLeUk3RlFXQlRFYjlpTzdmZEVaV004eDZOM3AxYllMUFVjOG9ReGViMWtBbUlvR0xVNGs4YlpFcjBzQ2VfRzBobFVjcW5LU0tjeTRqMml3dXRURjl0bS1wYnB5UG1lQW5wS2R4UXQxU1FXUDc5bm1RaWxCLXZLMmM2Tng3MGNKajliOHZMZ3JIdThxcQ?oc=5,2026-03-19,digitimes,"US reveals Tesla battery deal with LG, lifting veil on supply chain digitimes"
The world’s biggest automaker has one of the dirtiest supply chains: report - The Verge,https://news.google.com/rss/articles/CBMiogFBVV95cUxPb1NaRnB4MjBKXzRwc2xkWmZqdno0VTllRERBUVdpZFFpc3o3YTV0WmVMRDZXa3VCaVM5WkQ5Tjd1em5qdk1Va2wydnVMdnBlUXBuclNCZTlnTEd5TzNIMTJ6eGI3ZEcyNUpfRExPM0J3cURaR3JUdlB1dUV3TmdzSlpJUGhSVGdNLS1DNUhSbXBUaEo2RUdrZHlVWTkwR1Vlb0E?oc=5,2026-03-04,The Verge,The world’s biggest automaker has one of the dirtiest supply chains: report The Verge
"Tesla Picks Suppliers by Quality, Not Country, Executive Says - Bloomberg.com",https://news.google.com/rss/articles/CBMirwFBVV95cUxQUVhVV1cxeXZybzltRG1VTTMwMGNNX0dpeGJYd2RDeU1peDc4dmUxLVJfOUQ5enZDUm1UYnNDSERLTEhQajNQOThtUUUyMERXaGg1RURlWldBZVJrVkMzUlowVWtHblJlOFRoYlQxWmVOOEkwNDZydjVPYXFnbUdHWjlhTE9HbVZEdVQxd0tVVDFkZVNZZlgzZmY0cGJVWFQ2Z0NoZFRQVHBBbGZPYVp3?oc=5,2025-11-26,Bloomberg.com,"Tesla Picks Suppliers by Quality, Not Country, Executive Says Bloomberg.com"
DHL Supply Chain Eyes Fleet of Tesla Semis - Transport Topics,https://news.google.com/rss/articles/CBMibEFVX3lxTE8zSks3Nmp0ZDZRNGRNRzltZ3lTSERidkpPVVY2RnBqUjc4RjQ1OTVtN2V3Y1JSWkFMMk9PNVVMUjFfdGJwYzdZVVRwYndHbzdwdWJYUkkwam1NcW0zdFQ2WVRSMG5jSzl2NUVvUA?oc=5,2025-12-29,Transport Topics,DHL Supply Chain Eyes Fleet of Tesla Semis Transport Topics
Exclusive | Tesla Wants Its American Cars to Be Built Without Any Chinese Parts - WSJ,https://news.google.com/rss/articles/CBMihANBVV95cUxNS1VENlVUTndMWWNsdU41VTA4ODZxaVhPaUNrR3RKZzg1b0FsVWxYb081ZzR1d3phSlRFaDhKZGprYmw5bDFLb19rVjAyaGQ0THR4YzIwSklkbmxmVjZrMzBzSG1ZNVpEZlZBTWlxYmJDaU5iQ0owYjV3bWVsZks1V3gyQXh5MTBCRFlrdVROZEhCcTd6REdKeUs2Wl8tUkwyYndFSDB1bFdoNUhoNHpSQ0NFU1hyNFBCR29kdDZPNmNMcEwxRU1Ma0hIZWgtc1c1NEp4LTBiTDNaUzR2VG1LN2JNNDBTQ3hIbVEybGdTZHBjaHBJSHh3UE5xZzBoU3pITzV3ZFp6Y25iS1dMYmlUWWo0bkEzQUtZSkNRUk9ZQ3lMODAtUV9OR0VOQ2ZYQTBpY243SV9CMmFJRTV4bXdLd3NJdzRQYnk2ZldwUTJ5OVpTV0tjV2Y2ay01WVdnUTdvNjUwaWZaNXNSYXlpOEt4MWNiSFo0NHFjcFNDYTJIZ1lIb0xs?oc=5,2025-11-15,WSJ,Exclusive | Tesla Wants Its American Cars to Be Built Without Any Chinese Parts WSJ
DHL Supply Chain deploys first Tesla Semi in net zero carbon push - FreightWaves,https://news.google.com/rss/articles/CBMioAFBVV95cUxNaGlxcUlreHZNdzBlNWk4LXVkdzhmc2VxY0dqdXZfb1dWZkRTa2M4M2ppaklDMVVqWnNLTFhYSk50T252UnJlaTROUXI3SUNiTFhLOVNQd0ttUC1DX0dxNC13NzN1MHpZSGxrbEp4UWQxcW82Yjl2X01iV1kySUtlNmN3WUctZGtOZWNPSjFuanVFcGdNOGRFOWJXUmxhdi1B?oc=5,2025-12-10,FreightWaves,DHL Supply Chain deploys first Tesla Semi in net zero carbon push FreightWaves
Tesla requires US supply chains to strip out China-made components – report - Just Auto,https://news.google.com/rss/articles/CBMickFVX3lxTE9oOHZ6SjZreWF0TmtYaHhuYlZ4cWFHWGlLQmh0MUlxTE9fMzc2ZVRDZWw1QmtCcklNRlJKdGFhZm90ek14QXZuYlIzd2FkRDRaS1dBOHhaQ1dsVHB3R2hnVGZTNjlMRTJYNHBQdWduTTlkUQ?oc=5,2025-11-17,Just Auto,Tesla requires US supply chains to strip out China-made components – report Just Auto
USA: Tesla sued over alleged forced labour and greenwashing in cobalt supply chain - Business and Human Rights Centre,https://news.google.com/rss/articles/CBMizwFBVV95cUxNX1BraW9yc0ZDOGxmX2hhbjhpZnI4V2w1aXRWY3BMU2F6OEh4ZFFRZGxkMEk3ZFRNNnktd1BUQXR4cEJIaTRvOW1sTFc1MmRaU2puRHhwVG1EQWFvVnhsZ3pmRjg1WlAxM3I5R1M4ZEVGS0pudDFkUEIwNm53dTNuY3JkTERHTGxLN1h2TllVNUNSOGFwZExDQTl0R0VYUnpVYVgyLWs3MmNfM2h5QmsyYU5YMjZYdGYwZ2NZNXpHRzZfX013NEpXbWR1Mjcxb0U?oc=5,2025-08-29,Business and Human Rights Centre,USA: Tesla sued over alleged forced labour and greenwashing in cobalt supply chain Business and Human Rights Centre
